ID,Business_name,time,rating,text,verified,date
7228346086921746370,The Local Grocer,1711485836735,5,The bakery section is a bit lacking.,Yes,2023-03-26
9520875287453482886,The Local Grocer,1711485836735,4,"Although the selection of products is generally outstanding, I've noticed that staple items can be out of stock, which can be inconvenient for regular shopping.",Yes,2023-03-26
3506957932488388196,Field to Fork Market,1711485836735,2,"The wine and beer selection is curated with care, featuring local breweries and vineyards alongside well-known global brands, making it a go-to for any occasion.",Yes,2023-03-26
17607741026596161923,Fresh & Green Groceries,1711485836735,1,The store brand products are top quality.,Yes,2023-03-26
15480024317581901521,Organic Essentials,1711485836735,1,Best place for vegan groceries.,No,2023-03-26
17894185933951381923,"Nature""s Pantry",1711485836735,4,"Their holiday-themed events bring the community together, offering tastings, special deals, and festive decorations that enhance the shopping experience.",No,2023-03-26
8531923814224359960,Fresh & Green Groceries,1711485836735,1,"I was disappointed to find that some of the produce, while labeled organic, did not seem to meet the usual standards of freshness and quality I expected.",Yes,2023-03-26
7797044367384670715,City Market,1711485836735,4,"I found their selection of international foods to be unparalleled, offering authentic ingredients from around the world that are hard to find elsewhere.",Yes,2023-03-26
17710289591613005201,"Season""s Best Market",1711485836735,1,Found everything I needed and more!,No,2023-03-26
11417235142836317297,"Season""s Best Market",1711485836735,4,Impressed by the local produce selection.,Yes,2023-03-26
2636273604269664984,Fresh & Green Groceries,1711485836735,5,"Despite its many positives, the store could improve by extending its hours on weekends to accommodate those with busy work schedules.",No,2023-03-26
1526000477628365546,Urban Fresh Foods,1711485836735,2,"The inclusion of a small cafe within the store is perfect for a quick break during shopping trips, offering excellent coffee and snacks.",No,2023-03-26
5501663534633008145,Urban Fresh Foods,1711485836735,1,Excellent customer service!,Yes,2023-03-26
17979088000277026984,Harvest Moon Grocers,1711485836735,4,Online ordering process is smooth.,Yes,2023-03-26
2596841540051905282,"Nature""s Pantry",1711485836735,5,The availability of rare and exotic fruits and vegetables encourages culinary exploration and creativity in the kitchen.,No,2023-03-26
6448851750195540103,Neighborhood Fresh Market,1711485836735,5,"Their online shopping and home delivery service have been a game-changer, especially with the intuitive app that makes ordering easy and efficient.",Yes,2023-03-26
11874681038182160016,EcoFood Supermarket,1711485836735,2,Impressed by the local produce selection.,No,2023-03-26
5318498284040923553,Neighborhood Fresh Market,1711485836735,5,Checkout lines were too long.,Yes,2023-03-26
7832041984681819494,The Local Grocer,1711485836735,5,The deli section offers amazing sandwiches.,No,2023-03-26
17497395594183310907,Organic Essentials,1711485836735,2,Pet-friendly shopping is a plus.,No,2023-03-26
5170847044353075039,The Local Grocer,1711485836735,1,"While the prices can be a bit higher than at big box stores, the quality and customer service offered here make it worth the extra cost.",No,2023-03-26
2666960044012847079,"Nature""s Pantry",1711485836735,2,"Could be cleaner, but the produce is top-notch.",Yes,2023-03-26
10351856996812207766,Organic Essentials,1711485836735,5,"They've created a community bulletin board where local events and services are posted, fostering a strong sense of community engagement.",Yes,2023-03-26
17444885372990948232,The Grocery Basket,1711485836735,4,"One of the best aspects is the freshness and variety of the salad bar, offering a plethora of options for healthy and quick meal solutions.",No,2023-03-26
10752374911492011871,"Season""s Best Market",1711485836735,3,"Although the selection of products is generally outstanding, I've noticed that staple items can be out of stock, which can be inconvenient for regular shopping.",Yes,2023-03-26
5665960928730956290,"Nature""s Pantry",1711485836735,5,"The loyalty program is not only rewarding but also includes personalized discounts based on shopping history, which I find to be a thoughtful touch.",No,2023-03-26
1999079515444966940,"Season""s Best Market",1711485836735,2,"The butcher counter is a standout, offering custom cuts of meat that are always fresh and sourced from ethical farms.",No,2023-03-26
7786962959632428106,The Local Grocer,1711485836735,5,"They offer a remarkable range of dietary-specific products, from keto and paleo to gluten-free and sugar-free, making healthy living more accessible.",No,2023-03-26
9464323420972975128,Neighborhood Fresh Market,1711485836735,5,Needs more checkout staff during peak hours.,No,2023-03-26
3790471610745319456,Harvest Moon Grocers,1711485836735,5,"Their online shopping and home delivery service have been a game-changer, especially with the intuitive app that makes ordering easy and efficient.",No,2023-03-26
13271221797765852096,"Season""s Best Market",1711485836735,2,Not satisfied with the freshness of perishables.,No,2023-03-26
2829374080543359183,Purely Organic Produce,1711485836735,2,Great prices and friendly staff.,No,2023-03-26
13535827249545508750,Daily Harvest Market,1711485836735,1,Always out of my favorite items.,No,2023-03-26
15531049371972061149,City Market,1711485836735,3,Bulk bin section is a money-saver.,Yes,2023-03-26
11285548131145868726,EcoFood Supermarket,1711485836735,5,Not satisfied with the freshness of perishables.,Yes,2023-03-26
11836771927585838083,Harvest Moon Grocers,1711485836735,1,Friendly and helpful pharmacy staff.,Yes,2023-03-26
7012513271213487605,Organic Essentials,1711485836735,4,Excellent customer service!,No,2023-03-26
14236349562436783149,Urban Fresh Foods,1711485836735,2,Great prices and friendly staff.,Yes,2023-03-26
16814416789830566615,Field to Fork Market,1711485836735,4,Impressed by the local produce selection.,Yes,2023-03-26
16224309115830017909,"Nature""s Pantry",1711485836735,1,Meat and fish sections are well-maintained.,No,2023-03-26
2868089389900217119,Daily Harvest Market,1711485836735,4,"It's refreshing to see a grocery store that places such a high value on customer feedback, with suggestion boxes and responsive management.",Yes,2023-03-26
12762071726128476347,The Grocery Basket,1711485836735,5,Parking was a nightmare.,Yes,2023-03-26
8974509719033283568,"Nature""s Pantry",1711485836735,1,The store layout is confusing.,Yes,2023-03-26
5770921969748107938,Urban Fresh Foods,1711485836735,4,They always have the best seasonal fruits.,Yes,2023-03-26
3867720431879032090,Daily Harvest Market,1711485836735,1,"I found their selection of international foods to be unparalleled, offering authentic ingredients from around the world that are hard to find elsewhere.",Yes,2023-03-26
13112118684841229204,Harvest Moon Grocers,1711485836735,1,I wish they had more cashiers on duty.,Yes,2023-03-26
13273590621552066045,City Market,1711485836735,5,"The inclusion of a small cafe within the store is perfect for a quick break during shopping trips, offering excellent coffee and snacks.",Yes,2023-03-26
2154764986553597491,City Market,1711485836735,2,"The loyalty program is not only rewarding but also includes personalized discounts based on shopping history, which I find to be a thoughtful touch.",Yes,2023-03-26
4665442965154283538,Neighborhood Fresh Market,1711485836735,3,Excellent customer service!,No,2023-03-26
10939827440380466163,The Local Grocer,1711485836735,5,The store layout is confusing.,No,2023-03-26
17300494172645615311,Organic Essentials,1711485836735,5,A go-to for specialty gourmet products.,No,2023-03-26
9637779188537143213,The Local Grocer,1711485836735,1,Needs a better selection of non-dairy milk.,Yes,2023-03-26
