user_id,Business_name,time,rating,text,verified,date
5366597584704690929,Local Bounty Grocers,1711488436658,4,The store brand products are top quality.,Yes,2024-03-26
2124885725387315558,Season's Best Market,1711488436658,4,Checkout is seamless with self-service options.,Yes,2024-03-26
2037329621465236658,Garden Gourmet Market,1711488436658,2,I wish they had more cashiers on duty.,Yes,2024-03-26
759086172898596643,The Seasonal Grocer,1711488436658,5,Excellent customer service!,Yes,2024-03-26
16350273253056789450,Neighborhood Fresh Market,1711488436658,5,The parking lot is well-lit and safe.,No,2024-03-26
14717815938310961188,The Seasonal Grocer,1711488436658,4,The floral department is always a delight.,No,2024-03-26
6160203589412920068,The Seasonal Grocer,1711488436658,4,Their in-house bakery produces some of the most delightful pastries and bread I've ever tasted – the early morning aroma of fresh baking is irresistible.,No,2024-03-26
15365863576952467209,Harvest Health Market,1711488436658,5,"The wine and beer selection is curated with care, featuring local breweries and vineyards alongside well-known global brands, making it a go-to for any occasion.",Yes,2024-03-26
1300088886521762150,Sunshine Grocery,1711488436658,4,"It's refreshing to see a grocery store that places such a high value on customer feedback, with suggestion boxes and responsive management.",Yes,2024-03-26
12282346955745700283,Sustainable Harvests,1711488436658,1,"Products are frequently mislabeled, causing confusion and inconvenience.",Yes,2024-03-26
6770572420798465375,Harvest Moon Grocers,1711488436658,1,"Customer service responses are generic and unhelpful, failing to address specific concerns.",Yes,2024-03-26
10543022107933761203,Sustainable Harvests,1711488436658,5,"The store's interior design and layout make shopping a pleasant experience, with wide aisles, clearly marked sections, and a welcoming atmosphere.",Yes,2024-03-26
3409526470943985355,Pure Harvest Market,1711488436658,3,Could improve on the organic snack options.,Yes,2024-03-26
8774292790120884554,City Market,1711488436658,4,Excellent wine and spirits selection.,Yes,2024-03-26
12433585031713410699,Vitality Grocers,1711488436658,5,"Their commitment to reducing food waste, through partnerships with local food banks and offering discounts on near-expiration items, is truly commendable.",No,2024-03-26
1650456530725051901,Season's Best Market,1711488436658,1,"Although the selection of products is generally outstanding, I've noticed that staple items can be out of stock, which can be inconvenient for regular shopping.",Yes,2024-03-26
1454150477407874354,The Organic Emporium,1711488436658,1,I wish they had more cashiers on duty.,Yes,2024-03-26
14017661383719033597,Fresh & Green Groceries,1711488436658,1,"The refund process is overly complicated and time-consuming, making it a hassle to return unsatisfactory items",No,2024-03-26
615107087479539048,EcoFood Supermarket,1711488436658,4,"I was pleasantly surprised by their commitment to sustainability, with eco-friendly packaging and a wide range of bulk purchase options reducing plastic waste.",Yes,2024-03-26
2709854800231018758,Local Bounty Grocers,1711488436658,3,Could use more variety in organic options.,No,2024-03-26
8780205617407283121,Pure Harvest Market,1711488436658,5,A go-to for specialty gourmet products.,No,2024-03-26
6801078185331267820,EcoFood Supermarket,1711488436658,2,Received a batch of spoiled fruits that were inedible upon arrival.,No,2024-03-26
18294208803583574518,EcoFood Supermarket,1711488436658,1,Received a batch of spoiled fruits that were inedible upon arrival.,No,2024-03-26
13585629234478525599,Fresh Finds Market,1711488436658,3,"Customer service responses are generic and unhelpful, failing to address specific concerns.",No,2024-03-26
4734120820700823651,Garden Gourmet Market,1711488436658,4,"The loyalty program is not only rewarding but also includes personalized discounts based on shopping history, which I find to be a thoughtful touch.",Yes,2024-03-26
14352359246992101100,GreenLeaf Market,1711488436658,1,The bakery section is a bit lacking.,Yes,2024-03-26
4231142774627116824,Prime Produce Market,1711488436658,3,Prices have been creeping up without any clear improvement in selection or quality.,Yes,2024-03-26
2270149890559642893,The Local Grocer,1711488436658,1,"I was disappointed to find that some of the produce, while labeled organic, did not seem to meet the usual standards of freshness and quality I expected.",Yes,2024-03-26
16670193073454034401,Garden Gourmet Market,1711488436658,4,Online ordering process is smooth.,No,2024-03-26
521780136943355161,Harvest Moon Grocers,1711488436658,5,"The store's interior design and layout make shopping a pleasant experience, with wide aisles, clearly marked sections, and a welcoming atmosphere.",No,2024-03-26
15788530341318612320,Fresh & Green Groceries,1711488436658,2,"Customer service responses are generic and unhelpful, failing to address specific concerns.",Yes,2024-03-26
7919973258369441417,Fresh Perspectives,1711488436658,1,Could improve on the organic snack options.,Yes,2024-03-26
14985118100825966186,Pure Harvest Market,1711488436658,1,Parking was a nightmare.,No,2024-03-26
1416507259837161368,Farm to Table Grocers,1711488436658,5,"The seafood counter offers an impressive array of fresh, sustainable options, and the knowledgeable staff can provide cooking tips and recipe ideas.",Yes,2024-03-26
14046046219031436892,Urban Harvest,1711488436658,4,The cheese variety is incredible.,No,2024-03-26
12289186382019781084,EcoFood Supermarket,1711488436658,3,"Despite its many positives, the store could improve by extending its hours on weekends to accommodate those with busy work schedules.",No,2024-03-26
934596626301885979,Season's Best Market,1711488436658,1,"Products are frequently mislabeled, causing confusion and inconvenience.",No,2024-03-26
17659949473052182143,Organic Essentials,1711488436658,5,I appreciate the store's effort in organizing cooking classes; it's a great way to engage with the community and learn new recipes using ingredients sold right there.,Yes,2024-03-26
8042718759136396651,Daily Harvest Market,1711488436658,1,The store layout is confusing.,No,2024-03-26
